PassArgClf,SVM,KNeigh,DesTree,RanForest,LogRegr,XGB
0.9641,0.9627,0.8792,0.8917,0.9139,0.9521,-
0.9641,0.9627,0.8742,0.8914,0.9128,0.9521,-
0.9641,0.9627,0.8739,0.8914,0.9128,0.9521,0.9673
